track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1DDRdAGahMxVa5hqN6agOk,1200 Micrograms,mescaline - astrix remix,2opB8qXyAmLYSGEZxp7X3U,20.0,https://p.scdn.co/mp3-preview/97fbba9741d5f27d36c939139a650e1d61435388?cid=72c9f2b9d3344c91af50a24f4144228f,0.000702,0.565,0.911,0.541,0.62,-7.612,0.0735,145.01,0.0612
6vD9TkHRdxH5fpGxmAjnIO,1200 Micrograms,salvia divinorum,2opB8qXyAmLYSGEZxp7X3U,18.0,https://p.scdn.co/mp3-preview/33b71c6c995b544ad463e7a74a7a0eb4975c9bd9?cid=72c9f2b9d3344c91af50a24f4144228f,0.000113,0.586,0.944,0.554,0.267,-8.1,0.0764,145.01,0.266
685JFuMdEEinDVrVvPPmog,12th Planet,hide it all,3V1h3kAdiVDBiwlY2i6dJz,32.0,https://p.scdn.co/mp3-preview/e17e907e8847b3a27552720eaef709477f3cc411?cid=72c9f2b9d3344c91af50a24f4144228f,0.0613,0.687,0.877,4.1e-05,0.367,-3.248,0.526,145.138,0.353
35Qf9mP6LoopjOVwgPAKoY,12th Planet,swamplex terrestrial,3V1h3kAdiVDBiwlY2i6dJz,25.0,https://p.scdn.co/mp3-preview/bfe1fffd4835013728357e1958ff1e512c2ad5a1?cid=72c9f2b9d3344c91af50a24f4144228f,0.000533,0.515,0.974,0.0169,0.121,-2.461,0.506,75.032,0.0558
2A7C2pIp1N0sgOi0aM6z3g,12th Planet,let it bang,3V1h3kAdiVDBiwlY2i6dJz,20.0,https://p.scdn.co/mp3-preview/5cb107204eaa46ec6101e2d47d635c143e39fa89?cid=72c9f2b9d3344c91af50a24f4144228f,0.000871,0.581,0.96,0.00346,0.131,-2.478,0.22,149.923,0.155
1HJW2w61lh3XcsnfnOR9p4,12th Planet,follow,3V1h3kAdiVDBiwlY2i6dJz,39.0,https://p.scdn.co/mp3-preview/ef07dc598b117870f027d50d635d6ee99961f848?cid=72c9f2b9d3344c91af50a24f4144228f,0.0274,0.533,0.938,0.00472,0.191,-2.762,0.0535,149.998,0.118
5TMYoiWElQzD4UsTvtX8kx,12th Planet,let us prey,3V1h3kAdiVDBiwlY2i6dJz,15.0,https://p.scdn.co/mp3-preview/15a9234eff6e1126bed600418e8e88e0f62d3b2c?cid=72c9f2b9d3344c91af50a24f4144228f,0.00843,0.345,0.896,0.0312,0.128,-2.695,0.374,75.897,0.149
5Yu2XAETE0p1dLzbgoX3WN,12th Planet,supernova,3V1h3kAdiVDBiwlY2i6dJz,23.0,https://p.scdn.co/mp3-preview/a492095a74937ed70307a86962abd5d12a7119d6?cid=72c9f2b9d3344c91af50a24f4144228f,0.0428,0.589,0.992,0.0,0.661,-1.958,0.422,150.105,0.51
3h8qGav0CXwYxQdio24Q1U,12th Planet,no other,3V1h3kAdiVDBiwlY2i6dJz,14.0,https://p.scdn.co/mp3-preview/39aaee4f173e063fbb20500dae68063e40ddbd3b?cid=72c9f2b9d3344c91af50a24f4144228f,0.00357,0.484,0.989,0.0376,0.0799,0.491,0.496,174.979,0.478
1mZmjuLoslfYSEOXojo8BS,16 Horsepower,black soul choir,188gwh9RnRT58ZQPwqwHE3,32.0,,0.0221,0.452,0.952,0.00339,0.0398,-8.306,0.0587,217.471,0.729
