track_id,artists,tracks,artist_id,track_popularity,track_url
62bOmKYxYg7dhrC6gH9vFn,*NSYNC,Bye Bye Bye,6Ff53KvcvAj5U7Z1vojB5o,71.0,https://p.scdn.co/mp3-preview/612fd571c0216fa3f2523a77a83abd794c8d9478?cid=72c9f2b9d3344c91af50a24f4144228f
2AW37v0bDyuOzGP3XnmFuA,*NSYNC,It's Gonna Be Me,6Ff53KvcvAj5U7Z1vojB5o,68.0,https://p.scdn.co/mp3-preview/f3bdcf480e1b5fcc2a7de899d1f43c74611b72f9?cid=72c9f2b9d3344c91af50a24f4144228f
73q3FpQVXWk5eSUnyo83E4,*NSYNC,Tearin' up My Heart - Radio Edit,6Ff53KvcvAj5U7Z1vojB5o,64.0,https://p.scdn.co/mp3-preview/9e9edd302e6a06bee2df75f7c812f9f4babace72?cid=72c9f2b9d3344c91af50a24f4144228f
4CCUjYJPbSXLL23BFeBVbI,*NSYNC,Gone,6Ff53KvcvAj5U7Z1vojB5o,52.0,https://p.scdn.co/mp3-preview/eea62070ce8779960f653d7f409531f997ceac57?cid=72c9f2b9d3344c91af50a24f4144228f
4v9WbaxW8HdjqfUiWYWsII,*NSYNC,"Merry Christmas, Happy Holidays",6Ff53KvcvAj5U7Z1vojB5o,39.0,https://p.scdn.co/mp3-preview/158f2eafaa4f03f58cede428618768126aa4d5a7?cid=72c9f2b9d3344c91af50a24f4144228f
0gbysjaH16DW29QpUnowcx,*NSYNC,It Makes Me Ill,6Ff53KvcvAj5U7Z1vojB5o,46.0,https://p.scdn.co/mp3-preview/c00dc4528ddf44eb0717759750a1464c6c878279?cid=72c9f2b9d3344c91af50a24f4144228f
46n2EGFnPC3tzWCN1Aqe26,*NSYNC,This I Promise You,6Ff53KvcvAj5U7Z1vojB5o,66.0,https://p.scdn.co/mp3-preview/0b9a69ffaf5fbb5217f65bd6bc0c7de144a2721d?cid=72c9f2b9d3344c91af50a24f4144228f
0Jc8qF1mUPo1A96HE9QxZz,*NSYNC,Pop,6Ff53KvcvAj5U7Z1vojB5o,57.0,https://p.scdn.co/mp3-preview/edcadba3c2b60c2f5767ccf14ce2f817f1027395?cid=72c9f2b9d3344c91af50a24f4144228f
221LRlPHPuevgE1tuUlof9,*NSYNC,I Want You Back - Radio Edit,6Ff53KvcvAj5U7Z1vojB5o,61.0,https://p.scdn.co/mp3-preview/3cbf84331a097fd1b1c98aba650657a88a7b3092?cid=72c9f2b9d3344c91af50a24f4144228f
7oiMyI6ilKfrt01Q6aZdPl,*shels,Butterflies (on Luci's Way),0Ivm3PYwfVFeq2trxYqLi2,27.0,https://p.scdn.co/mp3-preview/a1d31f04b64515c7f7e027b7651f5ea26f32d75e?cid=72c9f2b9d3344c91af50a24f4144228f
2hsljPUHPA1L5B4uZIo0Sg,*shels,Journey to the Plains,0Ivm3PYwfVFeq2trxYqLi2,34.0,https://p.scdn.co/mp3-preview/58839ae0b9a0bedb4772bccc026ac6dcb7c5f32d?cid=72c9f2b9d3344c91af50a24f4144228f
,Shels,Plains of the Purple Buffalo Pt. 2,,,
3wbGsUYUxJkGElBItCB2Nj,*shels,The Conference of the Birds,0Ivm3PYwfVFeq2trxYqLi2,35.0,https://p.scdn.co/mp3-preview/74d162110f5d3be09cd0ce1d58a844b344df27de?cid=72c9f2b9d3344c91af50a24f4144228f
7vAOaZsR2tdcvHCnl3bhsU,*shels,Conqueror,0Ivm3PYwfVFeq2trxYqLi2,15.0,https://p.scdn.co/mp3-preview/00f36e6cd09ba8af798e02b192e0b4a99a525e26?cid=72c9f2b9d3344c91af50a24f4144228f
4clrAfdFqNgwzflLDqqjqJ,*shels,The Spirit Horse,0Ivm3PYwfVFeq2trxYqLi2,14.0,https://p.scdn.co/mp3-preview/1071a64de2a75158895693c5746497c55e41c380?cid=72c9f2b9d3344c91af50a24f4144228f
6m3SrU56l5J9yCZZ1ePh8w,*shels,Vision Quest,0Ivm3PYwfVFeq2trxYqLi2,19.0,https://p.scdn.co/mp3-preview/2c5394c5e1abffcefa85009dcb62e099aa8a9941?cid=72c9f2b9d3344c91af50a24f4144228f
